,rv_len
11,643
12,624
10,612
13,553
14,524
15,467
9,423
7,402
8,396
17,392
5,382
6,382
16,380
18,341
19,287
20,276
22,252
21,242
23,233
24,213
25,213
28,189
27,182
26,161
29,158
30,145
31,134
33,132
36,125
35,114
37,113
32,109
34,103
39,89
42,88
38,88
40,83
44,74
41,69
46,69
43,62
45,60
47,57
49,53
48,53
50,49
61,47
51,44
54,37
52,36
55,35
60,34
56,33
64,33
62,33
58,32
57,32
53,32
63,30
59,29
69,29
68,27
65,25
75,23
67,22
66,22
73,21
74,19
72,19
70,18
81,17
78,17
85,16
77,15
76,14
79,13
92,13
71,13
82,11
80,11
103,11
89,10
108,9
91,9
98,9
90,9
105,9
104,8
87,8
96,7
83,7
84,7
86,7
100,7
88,7
97,6
101,6
99,6
106,6
143,5
102,5
111,5
125,4
117,4
93,4
107,4
95,4
110,4
129,4
134,4
94,3
168,3
119,3
201,3
114,3
137,3
182,3
123,3
132,3
116,3
126,3
120,3
112,3
128,3
138,3
113,3
157,3
176,3
135,2
163,2
139,2
208,2
144,2
136,2
121,2
109,2
130,2
149,2
146,2
165,2
160,2
190,2
202,2
156,2
158,2
122,2
181,2
127,2
142,2
118,2
147,2
151,2
131,2
309,1
195,1
153,1
133,1
212,1
221,1
271,1
200,1
185,1
167,1
152,1
155,1
463,1
205,1
270,1
171,1
268,1
230,1
161,1
184,1
154,1
115,1
206,1
188,1
140,1
196,1
199,1
233,1
124,1
250,1
314,1
437,1
193,1
145,1
179,1
141,1
192,1
194,1
243,1
186,1
