model,learning_rate,hidden_size,batch_size,pooling_style,acc,time(预测100条耗时)
fast_text,0.001,128,64,avg,0.8732065398732065,0.0069959163665771484秒
fast_text,0.001,128,64,max,0.8561895228561895,0.0059967041015625秒
fast_text,0.001,128,128,avg,0.8478478478478478,0.003992557525634766秒
fast_text,0.001,128,128,max,0.8388388388388388,0.00799560546875秒
fast_text,0.001,256,64,avg,0.8748748748748749,0.009994745254516602秒
fast_text,0.001,256,64,max,0.8615281948615282,0.017989397048950195秒
fast_text,0.001,256,128,avg,0.8692025358692025,0.017989397048950195秒
fast_text,0.001,256,128,max,0.8468468468468469,0.011991500854492188秒
fast_text,1e-05,128,64,avg,0.660326993660327,0.003997087478637695秒
fast_text,1e-05,128,64,max,0.6826826826826827,0.0059969425201416016秒
fast_text,1e-05,128,128,avg,0.5799132465799133,0.004996299743652344秒
fast_text,1e-05,128,128,max,0.6766766766766766,0.003996610641479492秒
fast_text,1e-05,256,64,avg,0.6816816816816816,0.008994102478027344秒
fast_text,1e-05,256,64,max,0.6740073406740074,0.010992765426635742秒
fast_text,1e-05,256,128,avg,0.6983650316983651,0.008991241455078125秒
fast_text,1e-05,256,128,max,0.666332999666333,0.018988847732543945秒
lstm,0.001,128,64,avg,0.8725392058725392,0.13392400741577148秒
lstm,0.001,128,64,max,0.8658658658658659,0.37178802490234375秒
lstm,0.001,128,128,avg,0.8498498498498499,0.19388937950134277秒
lstm,0.001,128,128,max,0.8598598598598599,0.16190719604492188秒
lstm,0.001,256,64,avg,0.8675342008675342,0.3148183822631836秒
lstm,0.001,256,64,max,0.8621955288621955,0.9884345531463623秒
lstm,0.001,256,128,avg,0.8755422088755422,0.42375802993774414秒
lstm,0.001,256,128,max,0.8611945278611945,0.33380866050720215秒
lstm,1e-05,128,64,avg,0.6740073406740074,0.17290019989013672秒
lstm,1e-05,128,64,max,0.6740073406740074,0.24286174774169922秒
lstm,1e-05,128,128,avg,0.6740073406740074,0.33580756187438965秒
lstm,1e-05,128,128,max,0.6740073406740074,0.31981563568115234秒
lstm,1e-05,256,64,avg,0.672339005672339,0.634636640548706秒
lstm,1e-05,256,64,max,0.6740073406740074,0.43375229835510254秒
lstm,1e-05,256,128,avg,0.6740073406740074,0.8065359592437744秒
lstm,1e-05,256,128,max,0.6740073406740074,0.7135918140411377秒
gru,0.001,128,64,avg,0.8695362028695363,0.11293482780456543秒
gru,0.001,128,64,max,0.8795462128795463,0.13892102241516113秒
gru,0.001,128,128,avg,0.8695362028695363,0.11493587493896484秒
gru,0.001,128,128,max,0.8755422088755422,0.22387123107910156秒
gru,0.001,256,64,avg,0.8581915248581915,0.438748836517334秒
gru,0.001,256,64,max,0.8715382048715382,0.2448585033416748秒
gru,0.001,256,128,avg,0.8702035368702036,0.30782461166381836秒
gru,0.001,256,128,max,0.8748748748748749,0.4227592945098877秒
gru,1e-05,128,64,avg,0.674341007674341,0.22986912727355957秒
gru,1e-05,128,64,max,0.6740073406740074,0.17190337181091309秒
gru,1e-05,128,128,avg,0.6740073406740074,0.15990948677062988秒
gru,1e-05,128,128,max,0.6740073406740074,0.13092303276062012秒
gru,1e-05,256,64,avg,0.6740073406740074,0.33580565452575684秒
gru,1e-05,256,64,max,0.6740073406740074,0.2728438377380371秒
gru,1e-05,256,128,avg,0.6740073406740074,0.6326377391815186秒
gru,1e-05,256,128,max,0.6740073406740074,0.2488563060760498秒
rnn,0.001,128,64,avg,0.8611945278611945,0.038979530334472656秒
rnn,0.001,128,64,max,0.8705372038705372,0.03497958183288574秒
rnn,0.001,128,128,avg,0.8568568568568569,0.03797650337219238秒
rnn,0.001,128,128,max,0.8712045378712046,0.03698086738586426秒
rnn,0.001,256,64,avg,0.8665331998665332,0.21087861061096191秒
rnn,0.001,256,64,max,0.8788788788788788,0.10693669319152832秒
rnn,0.001,256,128,avg,0.8611945278611945,0.0699625015258789秒
